# ra,dec,radius
16.559943843,1.23596108311,2.0
16.0291691395,1.23692444385,2.0
16.4323353297,1.31397567911,2.0
15.6324213818,1.34337369177,2.0
16.3511352276,1.4352685884,2.0
16.0878346869,1.43676448427,2.0
15.3429958371,1.45266796366,2.0
15.8735083302,1.54350524791,2.0
15.7186013019,1.54260936361,2.0
16.0909935725,1.58022110581,2.0
15.5532784919,1.61200196101,2.0
16.0123208409,1.72171978252,2.0
15.6872470694,1.79205498838,2.0
15.8788564961,1.8449404696,2.0
15.3188812897,2.03262940178,2.0
15.8008246329,2.03466649655,2.0
15.4022114991,2.05294121285,2.0
16.2619427136,2.08315169318,2.0
16.2413735464,2.09689813086,2.0
16.0944499154,2.18881738439,2.0
16.258357097,2.14767972402,2.0
16.2765795283,2.15860977186,2.0
16.2645171452,2.1628763661,2.0
16.2620550806,2.13737341469,2.0
16.135222963,2.15913156569,2.0
16.2599953258,2.14481960376,2.0
16.2463598405,2.15419223246,2.0
258.093318711,22.7754689584,2.0
258.492161541,22.7767897448,2.0
257.523863787,22.778529524,2.0
258.002505827,22.7868465717,2.0
258.478660572,22.786551176,2.0
257.960326971,22.7891547599,2.0
258.729572943,22.7933457608,2.0
258.070206947,22.7946032407,2.0
258.616920391,22.7905918814,2.0
258.551340972,22.8074048605,2.0
257.620541686,22.8101335418,2.0
258.631417226,22.8108975026,2.0
257.787515771,22.817025629,2.0
257.366082265,22.818605451,2.0
257.607084301,22.8245987915,2.0
258.122541012,22.8252602744,2.0
257.975326553,22.8264178294,2.0
258.500127503,22.8350016888,2.0
257.711533441,22.8380491749,2.0
258.708304123,22.8410935684,2.0
258.110561412,22.8426576999,2.0
258.221609197,22.8414599141,2.0
257.27475817,22.84428678,2.0
16.2538544903,2.17818637142,2.0
258.027711182,22.8462332581,2.0
257.783219045,22.859828014,2.0
258.225511443,22.8609464292,2.0
257.718173471,22.8605413769,2.0
15.9662892302,2.47309825568,2.0
331.19915984,31.8875966907,2.0
258.739557846,22.8666517835,2.0
258.346810757,22.8673355279,2.0
257.636149696,22.8732930637,2.0
15.7512163348,2.45612208718,2.0
258.203981604,22.880615133,2.0
257.977908903,22.8818891459,2.0
258.782922578,22.8809089778,2.0
330.390001247,31.90079168,2.0
258.566757678,22.8836797334,2.0
257.656748071,22.8868175601,2.0
258.60016938,22.8877385278,2.0
258.191624289,22.8922152419,2.0
258.261322093,22.8945107779,2.0
257.370798783,22.8958356584,2.0
331.494373085,31.9147839188,2.0
258.409593893,22.902677925,2.0
258.731341286,22.9093661688,2.0
258.394904196,22.910143621,2.0
257.274377547,22.9158851175,2.0
258.212245891,22.9158276808,2.0
258.064943144,22.9182659875,2.0
